subdomain_key,subdomain_label,procedure_code,procedure_title,field,operation_group,operation_key,agency,submission_methods,processing_time_values,document_group_count,result_count,raw_data_available,source_url
chuyen_truong,Chuyển trường,1.005108,Thuyên chuyển đối tượng học bổ túc trung học cơ sở,Giáo dục thường xuyên,chuyen_truong,thuyen_chuyen_doi_tuong_hoc_bo_tuc_trung_hoc_co_so,Trung tâm Giáo dục thường xuyên,,,0,0,True,https://vpcp.dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.005108
chuyen_truong,Chuyển trường,1.010627,"Chuyển ngành, nghề học, chuyển trường, chuyển nước đến học","Giáo dục, đào tạo với nước ngoài",chuyen_truong,chuyen_nganh_nghe_hoc_chuyen_truong_chuyen_nuoc_den_hoc,Cục Hợp tác quốc tế - Bộ giáo dục đào tạo,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,20 ngày làm việc | 20 ngày làm việc | 20 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-b856-736a-9b29-6716bbb9e465
chuyen_truong,Chuyển trường,2.001904,Tiếp nhận đối tượng học bổ túc trung học cơ sở,Giáo dục thường xuyên,tiep_nhan_hoc_sinh,tiep_nhan_doi_tuong_hoc_bo_tuc_trung_hoc_co_so,Sở Giáo dục và Đào tạo,,,0,0,True,https://vpcp.dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001904
chuyen_truong,Chuyển trường,2.002854,Chuyển trường và tiếp nhận học sinh,Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân,chuyen_truong,chuyen_truong_va_tiep_nhan_hoc_sinh,Cơ sở giáo dục,Trực tiếp | Trực tuyến | Dịch vụ bưu chính,8 ngày làm việc | 8 ngày làm việc | 8 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019e4f04-8e6e-72c9-99e6-b2edd45b4a83
chuyen_truong,Chuyển trường,2.002855,Tiếp nhận học sinh Việt Nam từ nước ngoài về nước,Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân,tiep_nhan_tu_nuoc_ngoai,tiep_nhan_hoc_sinh_viet_nam_tu_nuoc_ngoai_ve_nuoc,Cơ sở giáo dục,Trực tiếp | Trực tuyến | Dịch vụ bưu chính,8 ngày làm việc | 8 ngày làm việc | 8 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019e4f37-4c35-72ce-a909-7977bca6481e
chuyen_truong,Chuyển trường,2.002856,Tiếp nhận học sinh người nước ngoài,Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân,tiep_nhan_nguoi_nuoc_ngoai,tiep_nhan_hoc_sinh_nguoi_nuoc_ngoai,Cơ sở giáo dục,Trực tiếp | Trực tuyến | Dịch vụ bưu chính,8 ngày làm việc | 8 ngày làm việc | 8 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019e4f48-715c-7113-9b09-766dfe105154
chuyen_truong,Chuyển trường,2.002857,Tiếp nhận học sinh xin học lại,Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân,hoc_lai,tiep_nhan_hoc_sinh_xin_hoc_lai,Cơ sở giáo dục,Trực tiếp | Trực tuyến | Dịch vụ bưu chính,8 ngày làm việc | 8 ngày làm việc | 8 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019e4f40-2a33-715b-9115-b179a2a69bbf
hoc_bong_va_ho_tro,Học bổng và chính sách hỗ trợ,1.001622,Hỗ trợ ăn trưa đối với trẻ em mẫu giáo,Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân,tro_cap_hoc_tap,ho_tro_an_trua_doi_voi_tre_em_mau_giao,Cơ sở giáo dục,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,24 ngày làm việc | 24 ngày làm việc | 24 ngày làm việc,5,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-98e7-70fc-a7e2-3c4617d4c507
hoc_bong_va_ho_tro,Học bổng và chính sách hỗ trợ,1.001714,"Cấp học bổng và hỗ trợ kinh phí mua phương tiện, đồ dùng học tập dùng riêng cho người khuyết tật học tại các cơ sở giáo dục",Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân,hoc_bong,cap_hoc_bong_va_ho_tro_kinh_phi_mua_phuong_tien_do_dung_hoc_tap_dung_rieng_cho_nguoi_khuyet_tat_hoc_tai_cac_co_so_giao_duc,Cơ sở giáo dục,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,N/A | N/A | N/A,2,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-98e1-7328-a826-74115e520507
hoc_bong_va_ho_tro,Học bổng và chính sách hỗ trợ,1.002982,Hỗ trợ học tập đối với học sinh trung học phổ thông các dân tộc thiểu số rất ít người,Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân,chinh_sach_ho_tro_khac,ho_tro_hoc_tap_doi_voi_hoc_sinh_trung_hoc_pho_thong_cac_dan_toc_thieu_so_rat_it_nguoi,Cơ sở giáo dục,,,0,0,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-a0bb-75c1-9994-33530adf31a5
hoc_bong_va_ho_tro,Học bổng và chính sách hỗ trợ,1.003702,"Hỗ trợ học tập đối với trẻ mẫu giáo, học sinh tiểu học, học sinh trung học cơ sở, sinh viên các dân tộc thiểu số rất ít người",Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân,chinh_sach_ho_tro_khac,ho_tro_hoc_tap_doi_voi_tre_mau_giao_hoc_sinh_tieu_hoc_hoc_sinh_trung_hoc_co_so_sinh_vien_cac_dan_toc_thieu_so_rat_it_nguoi,Cơ sở giáo dục,,,0,0,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-a0b7-73bc-a140-d0bbe50f7991
hoc_bong_va_ho_tro,Học bổng và chính sách hỗ trợ,1.008950,"Trợ cấp đối với trẻ em mầm non là con công nhân, người lao động làm việc tại khu công nghiệp",Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân,tro_cap_hoc_tap,tro_cap_doi_voi_tre_em_mam_non_la_con_cong_nhan_nguoi_lao_dong_lam_viec_tai_khu_cong_nghiep,Cơ sở giáo dục,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,24 ngày làm việc | 24 ngày làm việc | 24 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-b0a4-756f-a185-c74fda62ef1c
hoc_bong_va_ho_tro,Học bổng và chính sách hỗ trợ,1.009002,"Đăng ký hỗ trợ tiền đóng học phí và chi phí sinh hoạt đối với sinh viên học các ngành đào tạo giáo viên tại các đại học, học viện, trường đại học, trường cao đẳng được phép đào tạo giáo viên",Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân,chinh_sach_ho_tro_khac,dang_ky_ho_tro_tien_dong_hoc_phi_va_chi_phi_sinh_hoat_doi_voi_sinh_vien_hoc_cac_nganh_dao_tao_giao_vien_tai_cac_dai_hoc_hoc_vien_truong_dai_hoc_truong_cao_dang_duoc_phep_dao_tao_giao_vien,Cơ sở giáo dục; Cơ sở giáo dục đại học,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,15 ngày | 15 ngày | 15 ngày,1,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-b0a5-7402-af80-1178fabc81d7
hoc_bong_va_ho_tro,Học bổng và chính sách hỗ trợ,1.010497,"Đề nghị miễn giảm học phí, hỗ trợ chi phí học tập, hỗ trợ tiền đóng học phí đối với người học tại các cơ sở giáo dục mầm non, giáo dục phổ thông, giáo dục thường xuyên, giáo dục nghề nghiệp và giáo dục đại học",Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân,mien_giam_hoc_phi,de_nghi_mien_giam_hoc_phi_ho_tro_chi_phi_hoc_tap_ho_tro_tien_dong_hoc_phi_doi_voi_nguoi_hoc_tai_cac_co_so_giao_duc_mam_non_giao_duc_pho_thong_giao_duc_thuong_xuyen_giao_duc_nghe_nghiep_va_giao_duc_dai_hoc,Sở Giáo dục và Đào tạo tỉnh Tuyên Quang; Cơ sở giáo dục,Trực tiếp | Trực tiếp,10 ngày làm việc | 5 ngày làm việc,2,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019dc562-901d-73ca-9cbf-76f252e06d59
hoc_bong_va_ho_tro,Học bổng và chính sách hỗ trợ,1.014334,"Đề nghị hỗ trợ chi phí học tập trong trường trung học phổ thông tư thục, cơ sở giáo dục thường xuyên tư thục, trường trung học phổ thông trong các trường đại học, cao đẳng, viện nghiên cứu",Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân,ho_tro_chi_phi_hoc_tap,de_nghi_ho_tro_chi_phi_hoc_tap_trong_truong_trung_hoc_pho_thong_tu_thuc_co_so_giao_duc_thuong_xuyen_tu_thuc_truong_trung_hoc_pho_thong_trong_cac_truong_dai_hoc_cao_dang_vien_nghien_cuu,Sở Giáo dục và Đào tạo Thành phố Hà Nội; Cơ sở giáo dục,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,10 ngày làm việc | 10 ngày làm việc | 10 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-c7e2-7668-a2a3-b7731373da8c
